Generated by myTrafficdata,,,
SDR: 1145FSarbia,,8 maj 26 13:03:42,
Data i czas,Kierunek,Długość,Szybkość
8 maj 26 7:04:42,1,4.3 m,39 km/h
8 maj 26 7:04:57,2,11.7 m,39 km/h
8 maj 26 7:08:05,1,4.5 m,64 km/h
8 maj 26 7:08:11,1,4.4 m,69 km/h
8 maj 26 7:10:03,2,4.3 m,47 km/h
8 maj 26 7:11:04,1,4.8 m,52 km/h
8 maj 26 7:11:21,2,3.7 m,74 km/h
8 maj 26 7:13:08,1,4.0 m,45 km/h
8 maj 26 7:13:31,1,11.5 m,64 km/h
8 maj 26 7:31:19,2,4.0 m,52 km/h
8 maj 26 7:31:44,2,5.5 m,52 km/h
8 maj 26 7:34:48,1,4.1 m,32 km/h
8 maj 26 7:35:22,2,5.5 m,53 km/h
8 maj 26 7:35:35,1,3.8 m,53 km/h
8 maj 26 7:42:58,1,6.0 m,60 km/h
8 maj 26 7:43:18,2,6.6 m,68 km/h
8 maj 26 7:45:21,1,3.8 m,45 km/h
8 maj 26 7:45:22,1,4.8 m,45 km/h
8 maj 26 7:45:28,1,13.4 m,47 km/h
8 maj 26 7:47:15,1,4.9 m,63 km/h
8 maj 26 7:48:33,1,4.6 m,65 km/h
8 maj 26 7:51:57,1,4.1 m,62 km/h
8 maj 26 7:51:58,2,4.0 m,50 km/h
8 maj 26 7:55:07,2,5.6 m,51 km/h
8 maj 26 7:59:46,2,4.6 m,52 km/h
8 maj 26 8:08:35,1,4.6 m,57 km/h
8 maj 26 8:11:02,2,12.0 m,50 km/h
8 maj 26 8:12:45,2,5.5 m,61 km/h
8 maj 26 8:14:21,1,6.7 m,51 km/h
8 maj 26 8:14:27,2,5.0 m,44 km/h
8 maj 26 8:14:35,1,4.4 m,37 km/h
8 maj 26 8:14:49,2,2.4 m,38 km/h
8 maj 26 8:14:50,2,5.3 m,40 km/h
8 maj 26 8:15:11,2,4.5 m,33 km/h
8 maj 26 8:16:04,1,4.0 m,36 km/h
8 maj 26 8:17:49,2,5.1 m,63 km/h
8 maj 26 8:22:01,2,4.3 m,65 km/h
8 maj 26 8:23:19,2,6.6 m,47 km/h
8 maj 26 8:23:22,1,4.6 m,46 km/h
8 maj 26 8:23:30,2,4.7 m,50 km/h
8 maj 26 8:23:52,2,4.3 m,56 km/h
8 maj 26 8:26:52,1,4.6 m,47 km/h
8 maj 26 8:27:37,1,3.9 m,39 km/h
8 maj 26 8:28:36,2,7.7 m,34 km/h
8 maj 26 8:29:43,1,4.0 m,18 km/h
8 maj 26 8:31:55,2,4.0 m,54 km/h
8 maj 26 8:32:17,2,4.6 m,46 km/h
8 maj 26 8:34:08,1,4.1 m,53 km/h
8 maj 26 8:34:09,1,4.3 m,49 km/h
8 maj 26 8:39:17,2,3.9 m,47 km/h
8 maj 26 8:41:36,1,5.5 m,61 km/h
8 maj 26 8:47:15,2,5.2 m,63 km/h
